[ 2015-07-11T08:58:43+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2015-07-11T08:58:43+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-07-11T08:58:43+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-07-11T09:05:07+08:00 ] /index.php | INFO: Tag[ app_begin ] --START--
[ 2015-07-11T09:05:07+08:00 ] /index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-07-11T09:05:07+08:00 ] /index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-07-11T09:11:16+08:00 ] / | ERR: (ThinkException) 无法加载模块Index
[ 2015-07-11T09:11:28+08:00 ] /index.php | ERR: (ThinkException) 无法加载模块Index
[ 2015-07-11T09:12:32+08:00 ] /index.php | ERR: (ThinkException) 无法加载模块Index
[ 2015-07-11T09:12:37+08:00 ] /index.php | ERR: (ThinkException) 无法加载模块Index
[ 2015-07-11T09:14:46+08:00 ] / | ERR: (ThinkException) 无法加载模块Index
[ 2015-07-11T09:15:07+08:00 ] /index.php | ERR: (ThinkException) 无法加载模块Index
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | ERR: (ThinkException) 模板不存在[E:/Program/xampp/htdocs/workspace/thinkphp_p/Tpl/Admin/Index/add.html]
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.004000s ]
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004000s ]
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2015-07-11T09:15:59+08:00 ] /index.php/Admin/Index/index | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
